agent;timestep;position;direction;status;given_command
0;0;None;-;waiting;wait
1;0;None;-;waiting;wait
0;1;None;-;ready to depart;move_forward
1;1;None;-;waiting;wait
0;2;(20, 21);w;moving;move_forward
1;2;None;-;ready to depart;move_forward
0;3;(20, 20);w;moving;move_forward
1;3;(22, 5);e;moving;move_forward
0;4;(20, 19);w;moving;move_forward
1;4;(22, 6);e;moving;move_forward
0;5;(20, 18);w;moving;move_forward
1;5;(22, 7);e;moving;move_forward
0;6;(20, 17);w;moving;wait
1;6;(22, 8);e;moving;move_forward
0;7;(20, 17);w;stopped;move_forward
1;7;(22, 9);e;moving;move_forward
0;8;(20, 16);w;moving;move_right
1;8;(22, 10);e;moving;move_right
0;9;(19, 16);n;moving;move_forward
1;9;(23, 10);s;moving;move_forward
0;10;(19, 15);w;moving;move_forward
1;10;(24, 10);s;moving;move_forward
0;11;(18, 15);n;moving;move_forward
1;11;(25, 10);s;moving;move_forward
0;12;(18, 14);w;moving;move_forward
1;12;(25, 11);e;moving;move_forward
0;13;(18, 13);w;moving;move_forward
1;13;(25, 12);e;moving;move_forward
0;14;(17, 13);n;moving;move_forward
1;14;(25, 13);e;moving;move_forward
0;15;(17, 12);w;moving;move_forward
1;15;(25, 14);e;moving;move_forward
0;16;(17, 11);w;moving;move_forward
1;16;(25, 15);e;moving;move_forward
0;17;(17, 10);w;moving;move_forward
1;17;(25, 16);e;moving;move_forward
0;18;(17, 9);w;moving;move_forward
1;18;(25, 17);e;moving;move_forward
0;19;(17, 8);w;moving;move_forward
1;19;(25, 18);e;moving;move_forward
0;20;(17, 7);w;moving;move_forward
1;20;(25, 19);e;moving;move_forward
0;21;(17, 6);w;moving;move_forward
1;21;(25, 20);e;moving;move_forward
0;22;(17, 5);w;moving;move_forward
1;22;(25, 21);e;moving;move_forward
0;23;(17, 4);w;moving;move_forward
1;23;(25, 22);e;moving;move_forward
0;24;(17, 3);w;moving;move_forward
1;24;(25, 23);e;moving;move_forward
0;25;(17, 2);w;moving;move_forward
1;25;(25, 24);e;moving;move_forward
0;26;(17, 1);w;moving;move_forward
1;26;(25, 25);e;moving;move_forward
0;27;(17, 0);w;moving;move_forward
1;27;(25, 26);e;moving;move_forward
0;28;(18, 0);s;moving;move_forward
1;28;(24, 26);n;moving;move_forward
0;29;(19, 0);s;moving;move_forward
1;29;(23, 26);n;moving;move_forward
0;30;(20, 0);s;moving;move_forward
1;30;(22, 26);n;moving;move_forward
0;31;(21, 0);s;moving;move_forward
1;31;(21, 26);n;moving;move_forward
0;32;(22, 0);s;moving;move_left
1;32;(20, 26);n;moving;move_forward
0;33;(22, 1);e;moving;move_forward
1;33;(20, 25);w;moving;move_forward
0;34;(22, 2);e;moving;move_right
1;34;(20, 24);w;moving;move_left
0;35;(23, 2);s;moving;move_forward
1;35;(21, 24);s;moving;move_forward
0;36;(23, 3);e;moving;move_forward
1;36;(21, 23);w;moving;move_forward
